卦名,大意
乾为天,刚健如龙，过刚则悔
坤为地,柔顺包容，缺积极性
水雷屯,暂时郁结，等待新机
山水蒙,求知极佳，寻物甚难
水天需,饮食宴乐，待机而动
天水讼,争讼无益，难达目的
地水师,容民畜众，需要支持
水地比,水田丰满，亲比竞争
风天小畜,密云不雨，雨过天晴
天泽履,跟从别人，不可冒进
地天泰,三阳开泰，万事亨通
天地否,闭塞不通，运气不佳
天火同人,同心同力，与人交往
火天大有,阳光普照，万事如意
地山谦,谦和诚实，集多益寡
雷地豫,用心策划，从长计议
泽雷随,由强变弱，随从激动
山风蛊,内部不安，危机潜伏
地泽临,随机应变，与时推移
风地现,万事难行，检讨反省
火雷噬嗑,积极行动，克服困难
山火贲,绚丽晚霞，好景不常
山地剥,外强中空，危在旦夕
地雷复,春回大地，重新开始
天雷无妄,听其自然，顺天从命
天山大畜,储存资源，养精蓄锐
山雷颐,颐养合作，当心病祸
泽风大过,负担过重，本末衰竭
坎为水,陷入漩涡，烦恼不安
离为火,光明艳丽，炎烈不前
泽山成,二气感应，得心应手
雷风恒,保持常态，平淡不变
天山遁,逃避现实，没落衰退
雷天大壮,野马奔腾，扣索缰绳
火地晋,如日东升，充满活力
地火明夷,落日余晖，休养生息
风火家人,正家定位，温暖在内
火泽睽,事与愿违，小事尚吉
山水蹇,危险难行，不宜妄动
雷水解,迎刃而解，宽大为怀
山泽损,损下益上，风险储畜
风雷益,损上益下，利人利己
泽天夬,老虎啸月，果敢勇决
天风姤,不期而遇，结婚不宜
泽地萃,人文荟萃，欣欣向荣
地风升,种子发芽，柔以时升
泽水困,困苦贫乏，志不得伸
水风井,无丧无得，往来井井
泽火革,新陈代谢，已需转机
火风鼎,鼎力合作，大亨养贤
震为雷,雷声隆隆，震惊百里
艮为山,屹立不移，停止不前
风山渐,鸿鸟起飞，有女于归
雷泽归妹,少女出嫁，运势稍待
雷火丰,成果丰硕，运势转衰
火山旗,艰苦旅程，小亨贞吉
巽为风,随风飘浮，往来不定
兑为泽,爽朗喜悦，丽泽多言
风水涣,离人起航，一帆风顺
水泽节,循序渐进，适可而止
风泽中孚,忠心诚信，成功在望
雷山小过,行为过度，竟见相背
水火既济,功成名就，和谐顺心
火水未济,时运不济，有待来兹
